dates,RPLprofits,RPLlosses,prices,URPLprofits,URPLlosses,RealisedPrice,MVRV,SOPR
2018-07-07,104855868.32685500,4291623.173426020,6755.5613,52150022891.353800,23311084898.368200,5122.735742477230,1.31874093055075,1.0228367463811000
2018-07-08,49463344.56663970,10720298.849172100,6704.1825,51053482217.58140,23860910763.005700,5118.758204948260,1.30972830354032,0.978874660194836
2018-07-09,121226224.26525700,22379637.39330190,6664.2063,51024486238.08770,23805853188.50400,5116.78123526489,1.30242157981472,0.9911622849792780
2018-07-10,87038680.25786350,8192924.720373580,6302.49,46998081010.62470,26583367135.899800,5112.140323135490,1.23284761403701,0.9608024811937810
2018-07-11,103763306.42794800,8250878.496325740,6381.8725,47957221681.88250,25758144865.918300,5108.646901438830,1.24922951676354,0.9844077788574060
2018-07-12,120681965.55832400,17889597.554572500,6245.6338,46023513177.76250,27164096674.122900,5103.962352210270,1.22368335990867,0.9794117818078560
2018-07-13,38869784.92067340,2836678.911060890,6217.6063,46009117521.50450,27055228958.96900,5098.88510757809,1.21940505989422,0.97713981706647
2018-07-14,21035729.793241500,8203076.538569780,6247.2275,45996061477.01920,26962341070.10660,5094.567001207230,1.22625288832586,0.9931530554346650
2018-07-15,59519517.81846750,25711115.167742200,6349.0375,46954341833.89260,26190687937.07540,5093.7692475272,1.24643209997826,1.0030868569038000
2018-07-16,31155930.49551770,12691583.606906700,6726.405,51054068455.23690,23432240782.14310,5095.39821687745,1.32009407581142,1.0266874812716500
2018-07-17,66376351.278543600,10220786.316250100,7314.9425,57757124830.84610,19855657610.896300,5099.5561461530400,1.43442728942561,1.06951097779617
2018-07-18,50915441.58226770,40564761.207420300,7378.7575,58775017835.86210,19251335159.169100,5103.541425564340,1.44581122885352,1.004584710818970
2018-07-19,47138009.22569230,15933234.987773000,7470.825,59833637375.48980,18647201701.075200,5106.8493194825,1.46290296279136,1.0204008135413300
2018-07-20,25480269.31686500,37074655.10811200,7330.5363,57456375726.78910,19742558699.983700,5108.367553560090,1.43500564967986,0.9927420972173640
2018-07-21,14477063.468408000,23633200.993116200,7404.2875,58548776001.559600,19128954608.717200,5109.595500928820,1.44909464920541,1.0146118581890800
2018-07-22,38910892.344981900,26169037.016820400,7396.2863,58494935407.727300,19108671609.382700,5111.529006466040,1.44698118520775,1.000952438060190
2018-07-23,43421224.29942270,14854433.74760610,7717.5,61980281506.83270,17499913797.44680,5115.162518345250,1.50874971661636,1.0146601927947300
2018-07-24,58127354.276281900,18730998.865058100,8397.635,70618034882.66910,14211913688.96100,5123.295787315240,1.63910797826502,1.055100913286120
2018-07-25,69289721.20334930,15607176.485568900,8166.76,67875461199.543900,15027143309.583700,5129.699313564210,1.59205432926742,1.0056095373103700
2018-07-26,16103575.27163930,9520847.610274050,7929.61,64126298275.25550,16492505848.700500,5131.436854966880,1.54530012238671,0.9735738963452940
