dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2018-09-13,63.182367770000006,819.8616600799998,860.3840719300002,583.3719835100001,2111.1463941899992,0.0,6486.6213
2018-09-14,70.61091490999992,707.4459189199997,467.4658253199999,198.68709689,501.9933017,0.0,6492.375
2018-09-15,61.37013561000002,730.41352399,796.9016729800002,1620.1340683900003,2.1263923000000005,0.0001,6515.8988
2018-09-16,44.41651092,475.84736413999997,793.0817514899998,1397.91957156,1.99445256,0.0,6497.3663
2018-09-17,57.33044669000001,751.3166514500002,634.1965980400004,2572.28501016,1237.4545077400005,1001.0,6251.16
2018-09-18,57.334519370000045,704.9657346799999,447.68968854000013,198.27258462999995,7.038268049999998,2e-05,6334.1963
2018-09-19,54.35205239999999,684.13757315,629.6420714399999,679.4287239,5.273488569999999,0.0,6388.9788
2018-09-20,60.719305029999994,733.55297137,877.1054763700005,897.2457940399999,4.16895735,0.0,6491.64
2018-09-21,81.65251918,907.2780638900001,396.17085446000004,309.76074431,94.01587208999999,0.0001,6753.18
2018-09-22,53.82668095999999,627.34143107,448.8878896599999,625.2973675799998,6002.036714770001,501.0001,6712.1675
2018-09-23,53.78326473000004,581.1169438000001,497.1987620099999,166.73072186000002,1101.9316195,0.0,6701.2975
2018-09-24,71.83460530000002,732.0127171099998,795.5221064099999,43.22904226999999,1.9388348099999997,0.0,6581.51
2018-09-25,75.64848356999995,702.4895378700002,700.65578323,620.9108192699999,2605.16476844,0.00229951,6434.6488
2018-09-26,69.46664738999996,735.6638966800002,2405.550245160001,278.6097452099999,1.9031563699999996,0.0,6458.6525
2018-09-27,67.36550610000002,782.28759348,733.2910087099995,469.09652705000013,2.14494958,0.0,6684.1313
2018-09-28,78.60890968999993,982.1635576099999,735.02416124,704.1928617599999,352.1063079499999,0.0,6621.665
2018-09-29,58.28809087000004,645.4791580999998,559.3226169599998,3324.20557537,1.98734209,0.0,6583.7713
2018-09-30,67.85488238,1214.59446514,1044.8571497300006,2396.12078587,1.79729448,0.0,6606.085
2018-10-01,70.41432844000003,1144.4289454599998,620.8557390400001,611.8149684599999,3063.27089326,0.0,6578.7938
2018-10-02,73.25459827000005,976.1737043100003,1146.21780955,353.36765454,103.1582507,0.0,6506.6575
2018-10-03,62.08519656999957,1060.1005363600002,745.5977001599999,512.3248724,1.9225295199999999,8e-05,6470.7138
2018-10-04,59.78669009999984,671.8255801600003,675.4990550200004,1366.9674514299998,1047.48434012,0.0,6555.875
2018-10-05,64.82907573000003,668.2096609500002,637.8887614900002,101.47351154999998,5.71408472,1001.0,6589.4038
2018-10-06,51.78361681999999,499.69922614,464.46621017999996,1470.87115009,28.51923652,0.0,6563.425
2018-10-07,43.937808589999996,591.1485234099998,491.7264320099999,21.264390100000004,9.47890185,0.0,6582.4013
2018-10-08,59.78793784999996,821.0828785699999,2009.78025254,1214.47941607,1961.5148979800001,0.0,6622.4013
2018-10-09,58.976527860000026,741.6782023700002,895.6690190900006,1763.89588473,51.89127937999999,0.0,6606.8825
2018-10-10,70.31909384000004,1026.2505489300001,1393.9051496600002,2529.46961861,3625.10743093,0.0,6550.7313
2018-10-11,68.81576714000006,882.0430828400004,805.2169495800001,526.7695311699998,1.9535742699999996,8.549999999999999e-05,6177.2338
2018-10-12,62.12541313999999,733.7907113899997,753.31138674,214.51132374000005,2.0974505999999997,0.0,6211.6688
2018-10-13,48.07115959,460.0431660499999,334.0370320699999,217.22558584,1.9284057399999999,0.0,6227.51
2018-10-14,44.32056157999998,733.4289375299996,1057.20505769,839.34109396,3.91662708,0.00014418,6222.215
2018-10-15,60.77443748000006,1206.8202171000003,2369.72828019,1647.93182933,57.902088600000006,0.0,6513.3838
2018-10-16,55.53339796000002,724.9406247700002,1091.2083862000002,732.48648932,52.05192632999998,0.0,6531.3625
2018-10-17,57.304104380000055,866.6098567500003,1742.8206689199997,1641.0942207299997,2.1552015300000003,0.0,6514.6413
2018-10-18,55.54355926999998,727.84061849,525.3244548500002,1772.1101347499994,4.47572614,0.00021255999999999998,6450.785
2018-10-19,53.61065954000001,703.6407362600006,949.5417504999999,1634.2848675299997,1596.2915200800003,1.776e-05,6418.8525
2018-10-20,44.4578136,546.3285902099999,312.41117745,165.63531152000002,11.85403593,0.0,6455.485
2018-10-21,44.34171781000001,636.73643894,528.5376291499998,526.86971085,2.0150612700000003,0.00013319999999999993,6453.82
