,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2020-05-01 00:00:00,7.286727789999997,129.61557721999998,226.38859978,457.93864342,0.23993085,0.0,8717.58
2020-05-01 01:00:00,7.371227839999992,70.44420707000005,33.05685281,46.760239999999996,0.18183298,0.0,8664.23
2020-05-01 02:00:00,14.257999899999996,163.86141927000006,177.08516923,523.87872779,16.33167761,0.0,8735.95
2020-05-01 03:00:00,5.3780175199999976,118.28448681000003,87.7952013,2.2340050999999996,27.54541535,0.0,8677.41
2020-05-01 04:00:00,4.435246109999999,65.16520630000002,41.36903086,17.384786269999992,9.867716209999998,0.0,8797.27
2020-05-01 05:00:00,13.321134789999999,141.38603661999997,117.72940977,306.4120942000001,1.6227245799999999,0.0,8818.27
2020-05-01 06:00:00,5.9371386600000005,98.95814959,71.63139941,12.508514890000002,211.9849131,0.0,8760.01
2020-05-01 07:00:00,8.912818260000002,93.99388911000001,184.12122626000001,1200.5942585500006,13.794734530000001,0.0,8782.0
2020-05-01 08:00:00,8.347810630000001,124.65206798000001,49.131096420000006,5237.4898045400005,16.494591009999997,0.0,8804.96
2020-05-01 09:00:00,2.29810585,39.64133387000001,0.6741281499999999,100.0714876,0.16016358,0.0,8855.48
2020-05-01 10:00:00,14.656878269999995,238.32031239999998,41.02373363000001,14.46863326,0.15861586,10270.557384149999,8911.11
2020-05-01 11:00:00,15.782008750000012,197.88197452000006,58.89217587000001,13.308019229999992,0.21907084,106.84724698,9014.55
2020-05-01 12:00:00,12.925380229999998,144.90970592,235.57591739999998,216.48436357000006,27.03547793,109.06233425,8889.99
2020-05-01 13:00:00,9.330738010000001,233.30724536999998,222.35440432,1.01301693,1534.01850969,0.0,8798.22
2020-05-01 14:00:00,12.084821709999998,183.24674661999995,164.33314435,2122.0504483800005,0.5413024,71.52275804,8832.42
2020-05-01 15:00:00,10.048894530000004,103.71789379000002,229.79270219000003,259.86619755,12.603468840000001,0.0,8731.31
2020-05-01 16:00:00,16.70237688,206.37856171999994,321.55329319000003,231.25839201,0.9393051200000001,0.0,8737.64
2020-05-01 17:00:00,16.996250290000003,168.00049849000004,72.78470395999999,329.1892559200001,27.47193065,0.0,8759.12
2020-05-01 18:00:00,11.80422385,171.71969313999998,128.42171936,901.1384739400005,0.09579341,0.0,8740.01
2020-05-01 19:00:00,20.43761791999999,336.10507122999985,375.57379052,362.48519315,17.01652266,0.0,8731.74
2020-05-01 20:00:00,10.216904809999992,86.51279273000002,54.608416240000004,25.93112844,13.390153390000002,945.0,8731.49
2020-05-01 21:00:00,14.751002290000013,97.75110270999983,47.20108705,2.95664396,27.393715370000002,0.0,8853.58
2020-05-01 22:00:00,14.769873099999998,143.23460006000005,133.8542534,6.64071374,1365.88487463,0.0,8848.85
2020-05-01 23:00:00,10.273669809999989,175.49922707000007,104.07449538,5.792815009999996,1.38834816,0.0,8829.42
2020-05-02 00:00:00,7.180179629999998,84.18556594999991,66.68092058,170.13881996999996,573.9620329700001,534.3674361,8839.39
2020-05-02 01:00:00,5.252131829999998,73.36400563999993,9.704262030000002,1.26589868,0.15896197,0.0,8803.25
2020-05-02 02:00:00,7.607376729999997,82.29982081000003,190.58572815,87.71787391,2.52037709,0.0,8820.03
2020-05-02 03:00:00,6.28773379,72.77242706000001,12.031972279999998,9.018641830000012,26.991231810000002,0.0,8845.0
2020-05-02 04:00:00,2.8358394099999984,66.27350861999997,76.79983315999999,23.82852933,32.09466801,0.0,8829.82
2020-05-02 05:00:00,7.681996059999994,100.07382475999998,102.29906259,2.1882072200000007,0.9698829200000001,0.0,8825.74
2020-05-02 06:00:00,5.799741990000002,62.52082203999997,31.803277950000002,15.202087090000003,15.674607399999998,0.0,8829.87
2020-05-02 07:00:00,6.652323749999998,60.67423468000001,33.26953695,1.48608555,0.30084268,0.0,8807.2
2020-05-02 08:00:00,6.195008110000002,74.96922041000002,124.83199954,129.89799595,15.721072229999999,0.0,8780.32
2020-05-02 09:00:00,11.205063009999998,137.08904207,79.07870771,102.46489244,0.55998877,0.0,8824.1
2020-05-02 10:00:00,6.861349999999993,148.22058044999983,69.83284797,2.15615014,12.7173859,0.0,8830.84
2020-05-02 11:00:00,6.950963139999999,117.70833449999984,63.09805168,55.8186435,13.6838074,0.0,8850.0
2020-05-02 12:00:00,12.905102849999995,129.52843055,119.39521789999999,345.08220293,0.14494434,0.0,8869.86
2020-05-02 13:00:00,11.708480079999998,178.68580061000006,317.79583593,10.961163550000004,0.28566377,0.0,8907.54
2020-05-02 14:00:00,19.839408499999998,217.31524008000005,272.82619783,4.218435540000001,8.191807040000002,0.0,8931.4
2020-05-02 15:00:00,12.612477800000002,185.25334590999998,144.87486372000004,109.41871284999999,13.68000557,0.0,8948.01
2020-05-02 16:00:00,2.9442812199999997,21.116145839999994,1.98579208,0.02917458000000001,12.71027945,0.0,8990.96
2020-05-02 17:00:00,15.647327259999992,208.83321521000005,92.86903132999998,126.97526234000001,16.91651608,0.0,8979.99
2020-05-02 18:00:00,18.22975846000001,175.4521047199999,359.8124991499999,103.95761854999999,1.7386806099999998,0.0,8876.71
2020-05-02 19:00:00,9.539213499999994,111.34706436000013,30.41285314,55.083765580000005,0.06394048,0.0,8885.14
2020-05-02 20:00:00,7.717644689999998,86.29645157000019,171.37913687999998,0.21224251000000002,21.69147188,0.0,8941.0
2020-05-02 21:00:00,15.449750289999997,122.43400084999996,60.53992881,125.23512697999999,0.04684485,0.0,8939.45
