,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-08-27 11:00:00,6.0,0.0,2.0,6.0,11313.76
2020-08-27 12:00:00,6.0,0.0,2.0,3.0,11357.94
2020-08-27 13:00:00,3.0,0.0,0.0,0.0,11404.74
2020-08-27 14:00:00,14.0,1.0,4.0,11.0,11317.02
2020-08-27 15:00:00,6.0,0.0,3.0,7.0,11329.63
2020-08-27 16:00:00,6.0,2.0,1.0,4.0,11273.73
2020-08-27 17:00:00,8.0,0.0,0.0,2.0,11192.77
2020-08-27 18:00:00,8.0,0.0,0.0,8.0,11268.5
2020-08-27 19:00:00,10.0,1.0,0.0,9.0,11251.72
2020-08-27 20:00:00,10.0,1.0,1.0,5.0,11264.28
2020-08-27 21:00:00,13.0,2.0,0.0,8.0,11290.0
2020-08-27 22:00:00,10.0,0.0,1.0,7.0,11270.58
2020-08-27 23:00:00,4.0,0.0,1.0,6.0,11330.06
2020-08-28 00:00:00,4.0,0.0,1.0,3.0,11352.0
2020-08-28 01:00:00,7.0,0.0,1.0,5.0,11382.38
2020-08-28 02:00:00,10.0,1.0,0.0,4.0,11375.0
2020-08-28 03:00:00,10.0,2.0,0.0,7.0,11380.66
2020-08-28 04:00:00,21.0,2.0,0.0,6.0,11394.58
2020-08-28 05:00:00,5.0,0.0,0.0,8.0,11404.64
2020-08-28 06:00:00,6.0,0.0,2.0,4.0,11442.3
2020-08-28 07:00:00,9.0,2.0,1.0,5.0,11385.88
2020-08-28 08:00:00,8.0,0.0,0.0,4.0,11402.04
2020-08-28 09:00:00,7.0,0.0,1.0,5.0,11452.14
2020-08-28 10:00:00,9.0,0.0,1.0,2.0,11443.65
2020-08-28 11:00:00,7.0,1.0,1.0,5.0,11481.49
2020-08-28 12:00:00,7.0,1.0,1.0,8.0,11449.71
2020-08-28 13:00:00,7.0,5.0,11.0,10.0,11467.64
2020-08-28 14:00:00,3.0,4.0,1.0,10.0,11453.64
2020-08-28 15:00:00,1.0,2.0,0.0,10.0,11541.22
2020-08-28 16:00:00,6.0,3.0,2.0,4.0,11517.16
2020-08-28 17:00:00,5.0,1.0,1.0,5.0,11481.97
2020-08-28 18:00:00,2.0,0.0,0.0,6.0,11489.15
2020-08-28 19:00:00,2.0,0.0,1.0,5.0,11507.0
2020-08-28 20:00:00,3.0,2.0,0.0,8.0,11500.85
2020-08-28 21:00:00,7.0,1.0,3.0,8.0,11498.71
2020-08-28 22:00:00,2.0,0.0,0.0,2.0,11479.38
2020-08-28 23:00:00,0.0,0.0,0.0,3.0,11535.0
2020-08-29 00:00:00,6.0,0.0,0.0,9.0,11497.48
2020-08-29 01:00:00,4.0,0.0,0.0,9.0,11491.6
2020-08-29 02:00:00,3.0,0.0,1.0,5.0,11484.76
2020-08-29 03:00:00,1.0,0.0,0.0,3.0,11504.46
2020-08-29 04:00:00,3.0,0.0,1.0,1.0,11505.03
2020-08-29 05:00:00,1.0,0.0,0.0,1.0,11514.4
2020-08-29 06:00:00,1.0,0.0,0.0,3.0,11527.15
2020-08-29 07:00:00,1.0,1.0,0.0,3.0,11569.21
2020-08-29 08:00:00,2.0,0.0,0.0,5.0,11537.66
2020-08-29 09:00:00,2.0,0.0,0.0,3.0,11547.6
2020-08-29 10:00:00,0.0,0.0,1.0,3.0,11461.6
2020-08-29 11:00:00,0.0,0.0,1.0,4.0,11450.53
2020-08-29 12:00:00,0.0,1.0,0.0,4.0,11467.12
2020-08-29 13:00:00,0.0,1.0,31.0,9.0,11440.75
2020-08-29 14:00:00,2.0,0.0,0.0,1.0,11495.0
2020-08-29 15:00:00,3.0,1.0,0.0,6.0,11503.77
2020-08-29 16:00:00,0.0,0.0,0.0,7.0,11511.99
2020-08-29 17:00:00,0.0,1.0,0.0,4.0,11510.53
2020-08-29 18:00:00,1.0,1.0,1.0,6.0,11533.94
2020-08-29 19:00:00,0.0,0.0,0.0,4.0,11529.5
2020-08-29 20:00:00,0.0,0.0,0.0,4.0,11513.77
2020-08-29 21:00:00,1.0,0.0,1.0,2.0,11515.66
2020-08-29 22:00:00,0.0,0.0,0.0,3.0,11484.88
2020-08-29 23:00:00,0.0,0.0,0.0,7.0,11474.31
2020-08-30 00:00:00,1.0,0.0,1.0,4.0,11511.89
2020-08-30 01:00:00,0.0,0.0,1.0,2.0,11621.55
2020-08-30 02:00:00,1.0,0.0,1.0,0.0,11625.77
