date,RPLprofits,RPLlosses,price
2013-10-12,1221875.059863530,429746.3480183850,126.5232
2013-10-13,1261785.9525154400,419349.26408245600,130.4155
2013-10-14,1309707.666936110,414746.44863010900,133.0355
2013-10-15,1404370.0645662300,409913.9023727800,138.6417
2013-10-16,1585458.6787259800,413373.1766635850,137.4188
2013-10-17,1699779.4778876400,411596.538080095,142.735
2013-10-18,1838917.9191804800,410719.76385683300,149.5947
2013-10-19,2065443.1572403000,414958.925328714,159.8115
2013-10-20,2186481.142906830,400914.6035186840,163.0632
2013-10-21,2837160.9265330700,397418.84699823300,174.1772
2013-10-22,3470886.027865250,73483.27462777040,183.8648
2013-10-23,4111582.921866990,48835.0550264096,200.62
2013-10-24,4345947.8153836500,132107.12040225100,183.1482
2013-10-25,5589693.485914800,177410.52032328000,178.1217
2013-10-26,5660613.419371250,208711.77286508400,175.9008
2013-10-27,5535463.516282700,209577.28843585500,185.6888
2013-10-28,5626648.252471400,209468.80646678800,187.8683
2013-10-29,6080883.179675280,206131.07335701600,198.1932
2013-10-30,6215609.588457830,220009.48991364100,194.5493
2013-10-31,6406991.180595200,218155.8469018090,198.2263
2013-11-01,6588944.270075720,218093.03950161800,198.5098
2013-11-02,6646594.4685447200,217972.44304025100,200.8473
2013-11-03,6764129.712739300,216009.862357656,207.6335
2013-11-04,7678617.258589210,213672.38284418900,225.196
2013-11-05,8353507.095720670,208140.6073714060,239.29
2013-11-06,8791774.105542200,207833.42931407100,253.6933
2013-11-07,10365343.294667600,207536.47538472400,283.3023
2013-11-08,11746921.230912600,202627.31343736000,323.767
2013-11-09,12755577.88975680,202512.10324624100,336.1358
2013-11-10,12707942.423020900,337323.1870687060,311.9005
2013-11-11,12921462.290812000,339587.81413882200,332.6263
2013-11-12,13253459.826748100,338908.8402817670,349.3425
2013-11-13,14758652.212446300,249545.11737311600,393.2795
2013-11-14,15229239.355602400,196642.87623855400,410.723
2013-11-15,16396941.123097800,170494.90784008800,409.1675
2013-11-16,17297632.269051400,167923.23962237700,428.8238
2013-11-17,18860001.877737400,165005.07286886400,476.295
2013-11-18,23892130.58952620,164407.05608687800,674.3768
2013-11-19,27023565.367487100,1260166.3117311600,541.8257
2013-11-20,29789210.02899000,1373051.8098919700,572.6675
2013-11-21,32723972.177937900,1372877.3546643200,695.8668
2013-11-22,40030334.84736500,1372680.2978505700,747.4818
2013-11-23,44204871.655711700,1372650.7495061800,776.6998
2013-11-24,44901815.70730820,1473476.0317180600,751.377
2013-11-25,47543501.20549390,1473476.0317180600,778.6753
2013-11-26,59563016.5868201,1473476.0317180600,899.2
2013-11-27,63592011.92126170,1473476.0317180600,948.4088
2013-11-28,69787218.33462110,1473476.0317180600,1037.755
2013-11-29,76330502.81495080,1473476.0317180600,1120.3971
2013-11-30,79281627.88144710,1338324.659181300,1124.7631
2013-12-01,80849568.79449870,2560318.748670810,946.9237
2013-12-02,82794192.20467330,2711786.2863940200,1038.3485
2013-12-03,83839895.93207340,2755208.3942707700,1068.6675
2013-12-04,86568909.56743070,2755208.3942707700,1147.2457
2013-12-05,88718706.91968120,3500457.9287395,1042.0267
2013-12-06,89616155.20495750,5787578.807560260,834.0262
2013-12-07,89971266.93313980,7596999.625126310,694.4709
2013-12-08,85716847.40435250,7915787.696471480,795.3968
2013-12-09,83667416.66350990,7132984.067805500,898.0222
2013-12-10,82532286.62894670,7202697.78197399,989.9975
2013-12-11,81725402.48694130,7810043.049906040,883.2617
2013-12-12,74966603.95230920,8018741.497086220,875.7474
2013-12-13,72111032.30506040,8171136.260451620,898.2112
2013-12-14,70971589.95184360,9122455.001321050,867.495
2013-12-15,68345508.96651680,9256882.33611385,879.4692
2013-12-16,56821374.77179680,10626749.859840500,712.508
2013-12-17,51738260.46218290,11490925.525459300,683.8408
2013-12-18,45459131.44549520,13968090.629449900,522.2288
2013-12-19,39289518.03394380,14854771.450595900,698.4503
2013-12-20,36533125.06667980,16017790.837034800,622.8418
2013-12-21,38129277.844341000,16069947.070569100,608.9638
2013-12-22,35346079.692557300,18809693.67983970,617.8158
2013-12-23,33145220.55174300,18983772.580723400,673.1677
