dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2009-01-03,0.0,0.0,0.6966066186159964,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,2.0898198558479892,1.5748885236153236,0.0,0.0,0.0
2009-01-10,0.0,0.0,4.876246330311974,2.7277869391588783,0.0,0.0,0.0
2009-01-11,0.0,0.0,6.681615961813753,0.0,0.0,0.0,0.0
2009-01-12,0.0,0.13232528504723337,6.7019204634627005,0.7874442618076618,0.0,0.0,0.0
2009-01-13,0.0,0.0,7.405029930004076,0.0,0.0,0.0,0.0
2009-01-14,0.0,0.0,7.3133742754490045,0.0,0.0,0.0,0.0
2009-01-15,0.0,0.0,7.454016329194992,1.7607788978940733,0.0,0.0,0.0
2009-01-16,0.0,0.0,6.717830947728882,1.1136143546612656,0.0,0.0,0.0
2009-01-17,0.0,0.0,6.645203614643024,0.0,0.0,0.0,0.0
2009-01-18,0.0,0.0,6.645203614643024,1.3638934695794391,0.0,0.0,0.0
2009-01-19,0.0,0.0,6.789681450882888,0.0,0.0,0.0,0.0
2009-01-20,0.0,0.0,6.753851747215329,0.0,0.0,0.0,0.0
2009-01-21,0.0,0.0,6.230639011206554,1.1136143546612656,0.0,0.0,0.0
2009-01-22,0.0,0.0,6.230639011206554,0.0,0.0,0.0,0.0
2009-01-23,0.0,0.0,5.70197091659314,1.3638934695794391,0.0,0.0,0.0
2009-01-24,0.0,0.0,9.319961363483786,2.4901173977421496,0.0,0.0,0.0
2009-01-25,0.0,0.0,9.293891490421597,0.0,0.0,0.0,0.0
2009-01-26,0.0,0.0,6.230639011206554,0.0,0.0,0.0,0.0
2009-01-27,0.0,0.0,6.5717736964890605,1.3638934695794391,0.0,0.0,0.0
2009-01-28,0.0,0.0,6.5717736964890605,0.0,0.0,0.0,0.0
2009-01-29,0.0,0.0,6.717830947728882,0.0,0.0,0.0,0.0
2009-01-30,0.0,0.0,6.681615961813753,0.0,0.0,0.0,0.0
2009-01-31,0.0,0.0,6.9660661861599635,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,6.269459567543968,0.0,0.0,0.0,0.0
2009-02-02,0.0,0.0,6.497513982721873,0.0,0.0,0.0,0.0
2009-02-03,0.06354463559434323,0.0,6.755288584110048,0.0,0.0,0.0,0.0
2009-02-04,0.0,0.0,6.608590643924399,0.0,0.0,0.0,0.0
2009-02-05,0.0,0.0,6.645203614643024,0.0,0.0,0.0,0.0
2009-02-06,0.0,0.0,6.681615961813753,0.0,0.0,0.0,0.0
2009-02-07,0.0,0.18713621275868314,6.681615961813753,3.773164715039559,0.0,0.0,0.0
2009-02-08,0.0,0.0,6.497513982721873,0.0,0.0,0.0,0.0
2009-02-09,0.0,0.0,6.860779530538959,0.0,0.0,0.0,0.0
2009-02-10,0.0,0.0,6.9660661861599635,0.0,0.0,0.0,0.0
2009-02-11,0.0,0.0,7.104021483241705,2.6117521273590096,0.0,0.0,0.0
2009-02-12,0.0,0.0,6.860779530538959,0.0,0.0,0.0,0.0
2009-02-13,0.0,0.0,6.825323068219026,0.0,0.0,0.0,0.0
2009-02-14,0.0,0.0,7.069785035859298,0.0,0.0,0.0,0.0
2009-02-15,0.0,0.0,6.825323068219026,2.611657159734399,0.0,0.0,0.0
2009-02-16,0.0,0.0,6.825323068219026,0.0,0.0,0.0,0.0
2009-02-17,0.0,0.0,6.5717736964890605,0.0,0.0,0.0,0.0
2009-02-18,0.0,0.0,6.789681450882888,0.0,0.0,0.0,0.0
2009-02-19,0.0,0.0,6.534749324707557,0.0,0.0,0.0,0.0
2009-02-20,0.0,0.0,6.681615961813753,0.0,0.0,0.0,0.0
2009-02-21,0.0,0.0,6.681615961813753,0.0,0.0,0.0,0.0
2009-02-22,0.0,0.0,6.825323068219026,0.0,1.811348741111112,0.0,0.0
2009-02-23,0.0,0.0,6.460064022482026,0.0,0.0,0.0,0.0
2009-02-24,0.0,0.0,6.608590643924399,0.0,0.0,0.0,0.0
2009-02-25,0.0,0.0,6.5717736964890605,0.0,0.0,0.0,0.0
2009-02-26,0.0,0.0,6.717830947728882,0.0,0.0,0.0,0.0
2009-02-27,0.0,0.0,6.5717736964890605,0.0,0.0,0.0,0.0
2009-02-28,0.0,0.0,6.645203614643024,0.0,1.6943615993005177,0.0,0.0
2009-03-01,0.0,0.0,6.5717736964890605,0.0,0.0,0.0,0.0
2009-03-02,0.0,0.0,6.717830947728882,0.0,0.0,0.0,0.0
2009-03-03,0.0,0.0,6.534749324707557,0.0,1.811348741111112,0.0,0.0
2009-03-04,0.0,0.0,6.3845051188300745,0.0,0.0,0.0,0.0
2009-03-05,0.0,0.0,6.608590643924399,0.0,0.0,0.0,0.0
2009-03-06,0.0,0.0,6.460064022482026,0.0,0.0,0.0,0.0
2009-03-07,0.0,0.0,6.3845051188300745,0.0,0.0,0.0,0.0
