,Profits(1h),Losses(1h),Profits(>200D),Losses(>200D),Profits(<200D),Losses(<200D),prices
2010-07-20,,,,,,,0.0747
2010-07-21,,,,,,,0.0792
2010-07-22,,,,,,,0.0505
2010-07-23,,,,,,,0.0626
2010-07-24,,,,,,,0.0545
2010-07-25,,,,,,,0.0505
2010-07-26,,,,,,,0.056
2010-07-27,,,,,,,0.06
2010-07-28,,,,,,,0.0589
2010-07-29,,,,,,,0.0699
2010-07-30,,,,,,,0.0627
2010-07-31,,,,,,,0.0679
2010-08-01,,,,,,,0.0611
2010-08-02,702.226490428572,77.69758571428580,82.15892857142870,0.0,620.0675618571420,77.69758571428580,0.06
2010-08-03,670.8197605000010,81.08308207142860,82.15892857142870,0.0,588.6608319285700,81.08308207142860,0.06
2010-08-04,624.1665940000010,82.88349392857150,77.77035714285720,0.0,546.3962368571420,82.88349392857150,0.057
2010-08-05,583.621647928572,52.67836885714290,77.77035714285720,0.0,505.8512907857130,52.67836885714290,0.061
2010-08-06,565.9836447857150,50.74244635714290,74.86285714285720,0.0,491.1207876428560,50.74244635714290,0.0623
2010-08-07,469.75357592857200,49.32863778571430,88.7700000000001,0.0,380.9835759285710,49.32863778571430,0.059
2010-08-08,428.3347966428580,44.62330042857150,95.9475000000001,0.0,332.38729664285600,44.62330042857150,0.0609
2010-08-09,303.28682314285800,36.95552692857150,70.26892857142860,0.0,233.0178945714300,36.95552692857150,0.071
2010-08-10,285.4324307857150,35.205026142857200,53.66308571428580,0.0,231.76934507143000,35.205026142857200,0.07
2010-08-11,268.36615707143000,37.15300400000000,53.66308571428580,0.0,214.70307135714400,37.15300400000000,0.067
2010-08-12,262.9115551428580,36.234103571428600,53.4134428571429,0.0,209.49811228571600,36.234103571428600,0.07
2010-08-13,284.29781114285800,38.16285678571430,53.4134428571429,0.0,230.88436828571600,38.16285678571430,0.0645
2010-08-14,272.51839635714400,37.851930357142900,45.89594285714290,0.0,226.6224535000010,37.851930357142900,0.067
2010-08-15,267.3433907142870,34.77189485714290,38.25844285714290,0.0,229.0849478571440,34.77189485714290,0.0653
2010-08-16,295.84127450000100,30.248891000000000,38.25844285714290,0.0,257.5828316428580,30.248891000000000,0.0655
