Dates,Values,Prices
2009-07-02,2800.0,0.0
2009-07-03,2650.0,0.0
2009-07-04,2850.0,0.0
2009-07-05,2600.0,0.0
2009-07-06,2800.0,0.0
2009-07-07,2500.0,0.0
2009-07-08,2750.0,0.0
2009-07-09,2650.0,0.0
2009-07-10,2600.0,0.0
2009-07-11,2700.0,0.0
2009-07-12,2600.0,0.0
2009-07-13,2700.0,0.0
2009-07-14,2800.0,0.0
2009-07-15,1800.0,0.0
2009-07-16,2800.0,0.0
2009-07-17,1750.0,0.0
2009-07-18,0.0,0.0
2009-07-19,2350.0,0.0
2009-07-20,2550.14,0.0
2009-07-21,3200.0,0.0
2009-07-22,1900.0,0.0
2009-07-23,2750.0,0.0
2009-07-24,2600.0,0.0
2009-07-25,1100.0,0.0
2009-07-26,0.0,0.0
2009-07-27,2800.0,0.0
2009-07-28,1000.0,0.0
2009-07-29,150.0,0.0
2009-07-30,5.0,0.0
2009-07-31,0.0,0.0
2009-08-01,0.0,0.0
2009-08-02,0.0,0.0
2009-08-03,0.0,0.0
2009-08-04,2750.0,0.0
2009-08-05,3000.0,0.0
2009-08-06,2850.0,0.0
2009-08-07,2400.0,0.0
2009-08-08,2500.0,0.0
2009-08-09,2950.0,0.0
2009-08-10,2800.0,0.0
2009-08-11,2600.0,0.0
2009-08-12,2550.0,0.0
2009-08-13,2850.0,0.0
2009-08-14,2350.0,0.0
2009-08-15,0.0,0.0
2009-08-16,0.0,0.0
2009-08-17,0.0,0.0
2009-08-18,0.0,0.0
2009-08-19,100.0,0.0
2009-08-20,350.0,0.0
2009-08-21,250.0,0.0
2009-08-22,0.0,0.0
2009-08-23,50.0,0.0
2009-08-24,450.0,0.0
2009-08-25,2050.0,0.0
2009-08-26,2150.0,0.0
2009-08-27,500.0,0.0
2009-08-28,2550.0,0.0
2009-08-29,2700.0,0.0
2009-08-30,2750.0,0.0
2009-08-31,2500.0,0.0
2009-09-01,2400.0,0.0
2009-09-02,2400.0,0.0
2009-09-03,2500.0,0.0
2009-09-04,2000.0,0.0
2009-09-05,2700.0,0.0
2009-09-06,2850.0,0.0
2009-09-07,2900.0,0.0
2009-09-08,2550.0,0.0
2009-09-09,2350.0,0.0
2009-09-10,2700.0,0.0
2009-09-11,2500.0,0.0
2009-09-12,2450.0,0.0
2009-09-13,2750.0,0.0
2009-09-14,2800.0,0.0
2009-09-15,1550.0,0.0
2009-09-16,2450.0,0.0
2009-09-17,3100.12,0.0
2009-09-18,2650.0,0.0
2009-09-19,2750.0,0.0
2009-09-20,2850.0,0.0
2009-09-21,2450.0,0.0
2009-09-22,250.0,0.0
2009-09-23,1150.0,0.0
2009-09-24,2850.0,0.0
2009-09-25,2850.0,0.0
2009-09-26,3000.0,0.0
2009-09-27,3050.0,0.0
2009-09-28,2850.0,0.0
2009-09-29,2800.0,0.0
2009-09-30,2700.0,0.0
2009-10-01,2750.0,0.0
2009-10-02,1900.0,0.0
2009-10-03,1100.0,0.0
2009-10-04,1100.0,0.0
2009-10-05,1050.0,0.0
2009-10-06,950.0,0.0
2009-10-07,1200.0,0.0
2009-10-08,1900.0,0.0
2009-10-09,2050.0,0.0
2009-10-10,1950.0,0.0
2009-10-11,1500.0,0.0
2009-10-12,1500.0,0.0
2009-10-13,1250.0,0.0
2009-10-14,1350.0,0.0
2009-10-15,1800.0,0.0
2009-10-16,1650.0,0.0
2009-10-17,1300.0,0.0
2009-10-18,1800.0,0.0
2009-10-19,3750.0,0.0
2009-10-20,2700.0,0.0
2009-10-21,2000.0,0.0
2009-10-22,2100.0,0.0
2009-10-23,1900.0,0.0
2009-10-24,700.0,0.0
2009-10-25,1250.0,0.0
2009-10-26,1300.0,0.0
2009-10-27,1250.0,0.0
2009-10-28,1150.0,0.0
2009-10-29,1000.0,0.0
2009-10-30,1400.0,0.0
2009-10-31,250.0,0.0
2009-11-01,50.0,0.0
2009-11-02,1000.0,0.0
2009-11-03,1100.0,0.0
2009-11-04,1450.0,0.0
2009-11-05,1150.0,0.0
2009-11-06,1350.0,0.0
2009-11-07,1250.0,0.0
2009-11-08,1600.0,0.0
2009-11-09,1750.0,0.0
2009-11-10,1500.0,0.0
2009-11-11,1400.0,0.0
2009-11-12,1700.0,0.0
2009-11-13,1700.0,0.0
2009-11-14,1750.0,0.0
2009-11-15,2350.0,0.0
