,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2010-08-18,28126.720000000005,0.0,28126.720000000005,1912.61696,0.0,1912.61696,0.068
2010-08-19,14868.97,0.0,14868.97,991.7602989999999,0.0,991.7602989999999,0.0667
2010-08-20,18956.48,0.0,18956.48,1241.64944,0.0,1241.64944,0.0655
2010-08-21,32708.04,0.0,32708.04,2171.8138559999998,0.0,2171.8138559999998,0.0664
2010-08-22,13433.18,0.0,13433.18,886.5898800000002,0.0,886.5898800000002,0.066
2010-08-23,9208.22,0.0,9208.22,597.6134779999999,0.0,597.6134779999999,0.0649
2010-08-24,14538.64,0.0,14538.64,945.0116000000002,0.0,945.0116000000002,0.065
2010-08-25,9777.609999999999,0.0,9777.609999999999,633.5891279999998,0.0,633.5891279999998,0.0648
2010-08-26,12049.769999999997,0.0,12049.769999999997,771.18528,0.0,771.18528,0.064
2010-08-27,23824.65,350.0,23474.65,1548.6022500000004,22.75,1525.8522500000004,0.065
2010-08-28,13433.509997899999,0.0,13433.509997899999,861.08799086539,0.0,861.08799086539,0.0641
2010-08-29,6620.56,0.0,6620.56,423.71583999999996,0.0,423.71583999999996,0.064
2010-08-30,10454.690000900002,0.0,10454.690000900002,679.5548500585003,0.0,679.5548500585003,0.065
2010-08-31,33534.739999000005,1400.0,32134.739999,2012.08439994,84.0,1928.08439994,0.06
2010-09-01,23725.409997400024,0.0,23725.409997400024,1492.328288836461,0.0,1492.328288836461,0.0629
2010-09-02,23821.630000099995,0.0,23821.630000099995,1510.29134200634,0.0,1510.29134200634,0.0634
2010-09-03,18287.12,550.0,17737.120000000003,1113.6856079999998,33.495000000000005,1080.1906079999997,0.0609
2010-09-04,19968.600000000002,0.0,19968.600000000002,1246.04064,0.0,1246.04064,0.0624
2010-09-05,78038.16,600.44,77437.72,4807.150656,36.987104,4770.163552,0.0616
2010-09-06,71210.45999840001,0.0,71210.45999840001,4386.56433590144,0.0,4386.56433590144,0.0616
